age,workclass,education,maritalstatus,occupation,workhours,income
36,Private,High-school,Divorced,Craft-repair,40,Below-50K
57,Private,10th,Married,Craft-repair,40,Below-50K
46,Private,Bachelors,Married,Management,55,Above-50K
33,Private,Doctorate,Married,Specilist,40,Below-50K
42,Private,College,Single,Sales,45,Below-50K
62,Private,High-school,Married,Craft-repair,40,Below-50K
64,Self-emp,College,Married,Sales,20,Below-50K
18,Private,College,Single,Sales,25,Below-50K
43,Private,5th-6th,Separated,Algriculture,35,Below-50K
62,Self-emp,7th-8th,Widowed,Other,66,Below-50K
29,Private,Associate,Married,Specilist,50,Below-50K
43,Private,Bachelors,Married,Clearning,40,Above-50K
39,Private,High-school,Married,Management,40,Above-50K
69,Missing,Bachelors,Married,Missing,40,Below-50K
34,Private,Bachelors,Married,Management,40,Below-50K
44,Private,Associate,Married,Management,45,Above-50K
25,Private,Bachelors,Single,Administrative,30,Below-50K
47,Local-gov,College,Divorced,Transportation,40,Below-50K
17,Private,10th,Single,Other,8,Below-50K
41,Local-gov,Bachelors,Divorced,Specilist,65,Below-50K
19,Private,College,Single,Sales,20,Below-50K
57,Private,1st-4th,Married,Other,40,Below-50K
25,Private,High-school,Single,Administrative,35,Below-50K
37,Local-gov,College,Married,Administrative,40,Above-50K
29,Private,Associate,Married,Machinary,40,Below-50K
32,Private,College,Single,Sales,35,Below-50K
35,Private,Prof-school,Married,Specilist,45,Above-50K
52,Private,12th,Single,Machinary,40,Below-50K
41,Private,High-school,Single,Machinary,40,Below-50K
29,Private,High-school,Separated,Machinary,38,Below-50K
23,Private,Masters,Single,Specilist,36,Below-50K
31,Private,11th,Married,Craft-repair,40,Below-50K
40,Private,High-school,Married,Transportation,50,Below-50K
19,Private,High-school,Single,Administrative,20,Below-50K
21,Private,College,Single,Transportation,10,Below-50K
37,State-gov,Bachelors,Single,Administrative,40,Above-50K
49,Self-emp,Prof-school,Married,Specilist,35,Above-50K
64,Local-gov,High-school,Married,Administrative,35,Below-50K
37,Local-gov,Associate,Single,Administrative,43,Below-50K
70,Self-emp,Bachelors,Married,Craft-repair,12,Above-50K
22,Private,10th,Single,Transportation,30,Below-50K
29,Self-emp,High-school,Married,Sales,40,Below-50K
37,Private,High-school,Married,Craft-repair,40,Below-50K
29,Private,Bachelors,Single,Tech-support,40,Below-50K
38,Private,11th,Divorced,Machinary,65,Below-50K
27,Private,High-school,Single,Craft-repair,50,Below-50K
58,State-gov,Bachelors,Married,Administrative,35,Above-50K
60,Local-gov,College,Married,Administrative,35,Below-50K
20,Private,College,Single,Sales,25,Below-50K
51,Private,College,Married,Sales,40,Above-50K
37,Private,9th,Married,Transportation,65,Below-50K
22,State-gov,12th,Single,Management,50,Above-50K
56,Self-emp,10th,Married,Transportation,60,Below-50K
26,Private,Bachelors,Married,Sales,42,Above-50K
19,Private,College,Separated,Sales,25,Below-50K
37,Private,Associate,Married,Specilist,30,Below-50K
27,Private,College,Single,Tech-support,40,Below-50K
27,Private,High-school,Single,Sales,20,Below-50K
52,Self-emp,College,Married,Sales,50,Below-50K
45,Private,High-school,Separated,Machinary,40,Below-50K
28,Private,College,Single,Craft-repair,40,Below-50K
20,Private,High-school,Divorced,Administrative,40,Below-50K
28,Private,Masters,Single,Specilist,50,Below-50K
44,Private,Associate,Married,Clearning,40,Below-50K
30,Private,Bachelors,Married,Craft-repair,40,Below-50K
26,State-gov,Associate,Single,Administrative,8,Below-50K
55,Missing,Masters,Married,Missing,18,Below-50K
46,Private,High-school,Single,Sales,40,Below-50K
51,Private,Bachelors,Married,Craft-repair,50,Below-50K
25,Local-gov,Bachelors,Single,Specilist,40,Below-50K
43,Local-gov,High-school,Separated,Other,40,Below-50K
19,Missing,High-school,Single,Missing,28,Below-50K
36,Private,High-school,Divorced,Craft-repair,40,Below-50K
36,Private,College,Single,Management,40,Below-50K
48,Private,Bachelors,Single,Other,40,Below-50K
30,Missing,11th,Single,Missing,40,Below-50K
24,Private,Bachelors,Married,Specilist,44,Above-50K
30,Private,High-school,Divorced,Other,36,Below-50K
24,Private,Bachelors,Married,Management,45,Above-50K
62,Private,Bachelors,Married,Machinary,40,Below-50K
41,Self-emp,High-school,Divorced,Transportation,40,Below-50K
49,Self-emp,Prof-school,Married,Specilist,85,Above-50K
36,Self-emp,High-school,Married,Transportation,50,Below-50K
47,Local-gov,Masters,Divorced,Specilist,45,Below-50K
49,State-gov,Masters,Divorced,Specilist,40,Below-50K
52,Private,College,Single,Management,40,Below-50K
52,Private,Associate,Married,Tech-support,40,Above-50K
26,Private,High-school,Single,Administrative,53,Below-50K
51,State-gov,High-school,Single,Transportation,40,Below-50K
18,Private,10th,Single,Other,20,Below-50K
30,Private,High-school,Single,Clearning,40,Below-50K
46,Private,High-school,Divorced,Machinary,20,Below-50K
28,Private,High-school,Single,Clearning,40,Below-50K
48,Self-emp,Bachelors,Married,Management,50,Above-50K
62,Private,College,Married,Administrative,38,Above-50K
49,Private,Bachelors,Married,Sales,44,Below-50K
69,Private,High-school,Widowed,Administrative,24,Below-50K
35,Private,Bachelors,Single,Management,45,Above-50K
78,Private,Masters,Widowed,Craft-repair,40,Below-50K
61,Private,College,Married,Management,45,Above-50K
24,Private,Bachelors,Single,Specilist,40,Below-50K
29,Private,College,Single,Administrative,40,Below-50K
36,Self-emp,Bachelors,Married,Sales,45,Below-50K
17,Private,10th,Single,Algriculture,40,Below-50K
27,Private,High-school,Married,Clearning,80,Above-50K
64,Private,High-school,Married,Transportation,40,Below-50K
33,Self-emp,High-school,Single,Management,55,Below-50K
32,Private,12th,Married,Craft-repair,40,Below-50K
19,Private,College,Single,Other,20,Below-50K
42,State-gov,11th,Married,Algriculture,40,Below-50K
24,Private,Bachelors,Single,Sales,15,Below-50K
23,Private,High-school,Single,Management,45,Below-50K
51,Local-gov,Prof-school,Single,Specilist,40,Below-50K
31,Private,Bachelors,Single,Tech-support,60,Below-50K
44,Private,Prof-school,Married,Specilist,29,Above-50K
38,Private,Masters,Single,Management,50,Above-50K
44,Local-gov,Associate,Divorced,Security,56,Above-50K
44,Self-emp,5th-6th,Married,Algriculture,40,Below-50K
38,Private,High-school,Married,Craft-repair,44,Below-50K
36,Private,9th,Divorced,Administrative,40,Below-50K
29,Private,1st-4th,Single,Other,20,Below-50K
46,Private,Associate,Divorced,Sales,25,Below-50K
47,Private,High-school,Married,Administrative,40,Below-50K
30,Private,High-school,Married,Transportation,40,Above-50K
37,Local-gov,High-school,Married,Security,35,Above-50K
27,Private,Bachelors,Single,Management,45,Below-50K
43,Private,High-school,Divorced,Machinary,50,Below-50K
44,Self-emp,Prof-school,Married,Specilist,40,Above-50K
31,Private,College,Single,Management,60,Below-50K
34,Private,Bachelors,Married,Management,45,Above-50K
39,Private,Bachelors,Single,Sales,40,Below-50K
36,Private,College,Divorced,Craft-repair,40,Below-50K
57,Private,Bachelors,Married,Specilist,40,Above-50K
78,Private,7th-8th,Single,Machinary,35,Below-50K
24,Private,College,Married,Craft-repair,40,Below-50K
39,Private,College,Single,Administrative,40,Below-50K
21,Private,Associate,Single,Sales,40,Below-50K
34,Private,High-school,Separated,Administrative,40,Above-50K
22,Private,College,Single,Sales,32,Below-50K
36,Private,College,Divorced,Administrative,40,Below-50K
61,Private,College,Married,Sales,40,Above-50K
67,Missing,9th,Married,Missing,15,Below-50K
42,Private,College,Separated,Other,21,Below-50K
49,Federal-gov,Associate,Married,Craft-repair,40,Above-50K
58,Private,Associate,Married,Craft-repair,40,Below-50K
37,Local-gov,College,Married,Security,60,Below-50K
39,Private,High-school,Single,Tech-support,44,Below-50K
25,Private,College,Separated,Administrative,40,Below-50K
45,Self-emp,5th-6th,Married,Craft-repair,40,Above-50K
30,Private,Bachelors,Married,Administrative,40,Below-50K
49,Missing,College,Single,Missing,35,Below-50K
36,Self-emp,High-school,Married,Craft-repair,40,Below-50K
23,Private,High-school,Single,Craft-repair,65,Below-50K
51,Private,College,Married,Administrative,35,Below-50K
55,Private,High-school,Married,Transportation,60,Below-50K
35,Private,Bachelors,Single,Sales,50,Below-50K
45,State-gov,Masters,Married,Administrative,40,Below-50K
36,Private,Bachelors,Married,Specilist,48,Above-50K
32,Local-gov,High-school,Married,Craft-repair,40,Below-50K
39,Private,High-school,Married,Management,55,Below-50K
47,Self-emp,College,Married,Craft-repair,40,Below-50K
49,Private,College,Married,Management,45,Above-50K
52,Private,College,Married,Management,55,Above-50K
44,Private,College,Separated,Machinary,40,Below-50K
36,Private,College,Married,Management,50,Above-50K
40,Private,College,Divorced,Craft-repair,30,Below-50K
17,Private,10th,Single,Other,6,Below-50K
18,Private,High-school,Single,Sales,38,Below-50K
30,Self-emp,College,Married,Management,25,Below-50K
66,Private,High-school,Widowed,Clearning,50,Below-50K
59,Private,Bachelors,Single,Craft-repair,50,Below-50K
30,Local-gov,High-school,Married,Administrative,40,Below-50K
50,Private,High-school,Married,Algriculture,50,Below-50K
24,Private,High-school,Single,Other,25,Below-50K
28,Private,Prof-school,Married,Specilist,99,Below-50K
44,Local-gov,Masters,Married,Specilist,40,Above-50K
25,Private,Associate,Single,Specilist,40,Below-50K
45,Private,Masters,Married,Management,50,Above-50K
20,Private,High-school,Single,Transportation,40,Below-50K
67,Private,Associate,Divorced,Specilist,40,Below-50K
40,Self-emp,Prof-school,Married,Specilist,45,Above-50K
52,Federal-gov,High-school,Married,Administrative,40,Below-50K
34,Private,Doctorate,Single,Specilist,50,Above-50K
37,Local-gov,Associate,Married,Specilist,45,Above-50K
17,Self-emp,10th,Single,Other,4,Below-50K
25,Private,Associate,Married,Sales,42,Above-50K
35,Local-gov,Bachelors,Divorced,Specilist,40,Below-50K
63,Private,Masters,Divorced,Management,40,Above-50K
38,Local-gov,College,Single,Administrative,40,Below-50K
33,Private,Bachelors,Married,Administrative,60,Above-50K
51,Local-gov,Masters,Married,Specilist,40,Above-50K
64,State-gov,Doctorate,Married,Specilist,50,Above-50K
50,Self-emp,College,Divorced,Security,40,Below-50K
18,Private,10th,Single,Transportation,56,Below-50K
67,Private,Masters,Single,Specilist,99,Below-50K
46,Private,High-school,Married,Craft-repair,40,Below-50K
60,Self-emp,Bachelors,Married,Algriculture,50,Below-50K
29,Private,High-school,Single,Machinary,40,Below-50K
30,Private,College,Single,Other,40,Below-50K
56,State-gov,Doctorate,Married,Specilist,40,Below-50K
29,Private,High-school,Married,Clearning,40,Above-50K
37,Private,Bachelors,Single,Administrative,27,Below-50K
55,Private,1st-4th,Divorced,Clearning,30,Below-50K
24,Private,High-school,Single,Administrative,30,Below-50K
21,Private,High-school,Single,Craft-repair,35,Below-50K
46,Self-emp,Bachelors,Married,Sales,70,Above-50K
25,Private,12th,Married,Machinary,40,Below-50K
40,Private,High-school,Single,Craft-repair,28,Below-50K
23,Private,College,Separated,Sales,40,Below-50K
43,Self-emp,College,Single,Transportation,30,Below-50K
29,Self-emp,College,Married,Craft-repair,60,Above-50K
59,Private,10th,Widowed,Other,40,Below-50K
18,Private,College,Single,Other,35,Below-50K
28,Private,High-school,Single,Management,32,Below-50K
17,Private,11th,Single,Administrative,15,Below-50K
53,Private,High-school,Married,Machinary,40,Above-50K
22,Private,5th-6th,Single,Clearning,40,Below-50K
63,Private,High-school,Separated,Craft-repair,40,Below-50K
32,Private,Masters,Married,Sales,45,Above-50K
40,Local-gov,High-school,Single,Administrative,35,Below-50K
61,Self-emp,Prof-school,Married,Specilist,50,Above-50K
35,Private,High-school,Single,Craft-repair,40,Below-50K
43,Self-emp,Bachelors,Married,Management,50,Below-50K
20,Missing,College,Single,Missing,40,Below-50K
48,Self-emp,College,Divorced,Craft-repair,40,Below-50K
56,State-gov,Bachelors,Widowed,Specilist,40,Below-50K
51,Federal-gov,High-school,Married,Administrative,40,Below-50K
34,Private,College,Single,Craft-repair,40,Below-50K
44,Private,College,Married,Sales,40,Above-50K
61,Private,Masters,Married,Specilist,40,Above-50K
37,Private,College,Married,Sales,44,Above-50K
36,Private,Bachelors,Married,Management,40,Above-50K
34,Private,College,Separated,Machinary,40,Below-50K
23,Private,College,Single,Sales,25,Below-50K
63,Federal-gov,Masters,Divorced,Specilist,40,Above-50K
63,Missing,High-school,Widowed,Missing,11,Below-50K
47,Local-gov,Masters,Married,Management,41,Above-50K
55,Self-emp,High-school,Divorced,Sales,50,Above-50K
31,Local-gov,Bachelors,Single,Security,48,Below-50K
27,Private,College,Divorced,Other,40,Below-50K
58,Private,Bachelors,Divorced,Administrative,40,Above-50K
28,Local-gov,College,Married,Security,48,Below-50K
52,Private,7th-8th,Divorced,Machinary,64,Below-50K
31,Federal-gov,High-school,Married,Administrative,50,Below-50K
53,Private,College,Divorced,Administrative,38,Below-50K
43,Private,College,Divorced,Tech-support,50,Below-50K
43,Local-gov,High-school,Separated,Algriculture,40,Below-50K
50,Self-emp,Masters,Divorced,Management,80,Above-50K
68,Missing,High-school,Married,Missing,35,Below-50K
37,Private,11th,Married,Other,40,Below-50K
26,Private,High-school,Divorced,Machinary,40,Below-50K
22,Private,11th,Single,Sales,40,Below-50K
22,Private,College,Married,Sales,55,Below-50K
59,Private,College,Married,Craft-repair,50,Above-50K
30,Private,College,Married,Machinary,40,Below-50K
24,Private,High-school,Separated,Other,55,Below-50K
30,Private,High-school,Married,Craft-repair,40,Below-50K
50,Local-gov,Bachelors,Divorced,Security,40,Above-50K
38,Private,12th,Married,Other,40,Below-50K
29,Private,High-school,Married,Administrative,40,Below-50K
76,Private,High-school,Married,Sales,24,Below-50K
21,Private,Associate,Single,Craft-repair,40,Below-50K
65,Private,College,Widowed,Other,24,Below-50K
43,Private,High-school,Married,Management,45,Above-50K
29,Private,Bachelors,Married,Specilist,24,Below-50K
32,Private,Bachelors,Single,Sales,45,Below-50K
37,Private,Associate,Married,Management,65,Above-50K
64,Private,High-school,Married,Management,16,Below-50K
49,Private,College,Married,Craft-repair,40,Above-50K
44,Private,Bachelors,Married,Management,40,Above-50K
68,Missing,High-school,Married,Missing,15,Below-50K
34,Private,Bachelors,Married,Management,40,Above-50K
35,Private,College,Married,Management,36,Below-50K
53,Private,College,Divorced,Administrative,43,Below-50K
24,Private,Associate,Single,Sales,50,Below-50K
31,Private,College,Divorced,Administrative,40,Below-50K
25,Private,College,Married,Transportation,38,Below-50K
36,Private,High-school,Married,Machinary,45,Below-50K
29,Private,College,Single,Sales,60,Below-50K
37,Private,High-school,Married,Transportation,50,Above-50K
42,Self-emp,Doctorate,Single,Specilist,45,Below-50K
30,Private,High-school,Divorced,Craft-repair,40,Below-50K
32,Self-emp,College,Single,Management,70,Below-50K
47,Self-emp,Bachelors,Single,Management,45,Above-50K
44,Private,High-school,Divorced,Craft-repair,40,Above-50K
19,Private,High-school,Single,Sales,40,Below-50K
22,Private,High-school,Married,Management,48,Below-50K
51,Private,9th,Married,Craft-repair,50,Above-50K
69,Private,High-school,Married,Craft-repair,16,Below-50K
73,Missing,11th,Married,Missing,8,Below-50K
18,Missing,11th,Single,Missing,20,Below-50K
33,Self-emp,High-school,Single,Specilist,40,Below-50K
22,Local-gov,College,Single,Administrative,55,Below-50K
33,Private,Bachelors,Single,Tech-support,45,Above-50K
20,Federal-gov,College,Single,Administrative,40,Below-50K
28,Self-emp,College,Married,Craft-repair,40,Below-50K
25,Private,High-school,Single,Clearning,40,Below-50K
27,Private,High-school,Single,Other,48,Below-50K
22,Private,High-school,Single,Transportation,40,Below-50K
67,Self-emp,High-school,Married,Algriculture,35,Below-50K
31,Self-emp,High-school,Married,Management,40,Below-50K
36,Missing,College,Single,Missing,25,Below-50K
43,Federal-gov,Prof-school,Married,Specilist,50,Above-50K
33,Private,Bachelors,Single,Specilist,40,Below-50K
37,Self-emp,High-school,Married,Specilist,35,Above-50K
27,Private,High-school,Married,Transportation,60,Below-50K
36,Private,College,Single,Transportation,40,Below-50K
33,Private,Associate,Divorced,Sales,45,Below-50K
63,Private,Bachelors,Married,Sales,40,Above-50K
48,Private,Bachelors,Divorced,Other,56,Above-50K
25,Private,High-school,Single,Clearning,45,Below-50K
41,Self-emp,High-school,Married,Other,10,Below-50K
26,Private,High-school,Single,Other,40,Below-50K
23,Private,College,Single,Administrative,40,Below-50K
33,State-gov,High-school,Single,Other,40,Below-50K
30,State-gov,Masters,Married,Specilist,17,Below-50K
67,Self-emp,High-school,Widowed,Other,20,Below-50K
32,Private,High-school,Married,Sales,55,Above-50K
48,Self-emp,High-school,Divorced,Craft-repair,60,Above-50K
51,Private,High-school,Widowed,Other,24,Below-50K
39,Private,Masters,Single,Sales,40,Below-50K
40,Self-emp,Bachelors,Married,Specilist,60,Below-50K
40,Private,High-school,Married,Transportation,40,Above-50K
19,Private,High-school,Single,Machinary,40,Below-50K
28,Private,High-school,Divorced,Clearning,36,Below-50K
47,Private,Bachelors,Married,Specilist,60,Above-50K
20,Private,College,Single,Specilist,20,Below-50K
41,Private,High-school,Widowed,Management,40,Below-50K
29,Private,College,Married,Other,40,Below-50K
40,Private,Bachelors,Married,Management,50,Above-50K
61,Private,High-school,Widowed,Management,40,Below-50K
25,Private,11th,Single,Craft-repair,40,Below-50K
26,Private,High-school,Married,Machinary,40,Below-50K
43,Private,Bachelors,Single,Administrative,40,Below-50K
17,Private,7th-8th,Single,Craft-repair,45,Below-50K
43,Local-gov,Masters,Divorced,Specilist,40,Above-50K
73,Private,High-school,Married,Machinary,40,Below-50K
46,Local-gov,College,Divorced,Machinary,40,Below-50K
19,Private,College,Single,Other,20,Below-50K
37,Private,High-school,Divorced,Machinary,40,Below-50K
26,Private,College,Married,Administrative,40,Below-50K
47,Private,High-school,Divorced,Sales,40,Below-50K
47,Local-gov,Masters,Single,Specilist,40,Below-50K
29,Private,Bachelors,Single,Specilist,40,Below-50K
29,Private,High-school,Single,Administrative,40,Below-50K
33,Private,Bachelors,Married,Management,55,Below-50K
20,Private,High-school,Single,Transportation,40,Below-50K
28,Private,10th,Married,Craft-repair,48,Below-50K
26,Private,Bachelors,Single,Specilist,45,Below-50K
41,State-gov,Masters,Married,Specilist,40,Below-50K
67,Missing,7th-8th,Married,Missing,40,Below-50K
43,Private,Bachelors,Married,Sales,50,Below-50K
35,Private,9th,Married,Clearning,46,Below-50K
18,Private,12th,Single,Other,25,Below-50K
55,State-gov,College,Divorced,Administrative,40,Below-50K
44,Private,High-school,Divorced,Machinary,40,Below-50K
64,Private,High-school,Widowed,Clearning,15,Below-50K
34,Self-emp,Associate,Married,Craft-repair,75,Below-50K
38,Private,College,Married,Sales,60,Above-50K
25,Private,High-school,Single,Other,8,Below-50K
21,Private,College,Single,Transportation,40,Below-50K
37,Private,1st-4th,Married,Other,53,Below-50K
39,Private,College,Divorced,Sales,40,Below-50K
34,Private,College,Divorced,Administrative,50,Below-50K
23,Private,Bachelors,Single,Management,45,Below-50K
54,Private,College,Married,Craft-repair,40,Above-50K
49,Self-emp,Masters,Separated,Management,70,Above-50K
25,Private,High-school,Married,Administrative,40,Below-50K
51,Private,Associate,Married,Sales,50,Below-50K
29,Private,High-school,Single,Algriculture,35,Below-50K
27,State-gov,Bachelors,Married,Security,48,Below-50K
53,Private,High-school,Married,Clearning,40,Below-50K
68,Private,Bachelors,Married,Specilist,55,Above-50K
56,Private,High-school,Married,Sales,40,Above-50K
30,Private,Doctorate,Single,Specilist,40,Below-50K
24,Private,High-school,Divorced,Sales,48,Below-50K
70,Missing,9th,Widowed,Missing,25,Below-50K
24,Private,College,Single,Sales,40,Below-50K
74,Missing,Associate,Widowed,Missing,20,Below-50K
23,Missing,College,Single,Missing,25,Below-50K
41,Local-gov,Masters,Married,Management,55,Below-50K
45,Private,High-school,Single,Sales,19,Below-50K
35,Private,High-school,Married,Machinary,40,Below-50K
21,Private,High-school,Single,Clearning,40,Below-50K
45,Private,11th,Separated,Administrative,25,Below-50K
18,Private,11th,Single,Sales,30,Below-50K
49,Private,Bachelors,Single,Clearning,25,Below-50K
49,Private,Associate,Separated,Specilist,36,Below-50K
45,Local-gov,Bachelors,Married,Specilist,37,Below-50K
27,Private,High-school,Single,Clearning,40,Below-50K
28,Private,College,Married,Management,40,Below-50K
35,Private,Bachelors,Married,Specilist,45,Above-50K
33,Private,College,Single,Machinary,40,Below-50K
35,Private,11th,Married,Sales,35,Below-50K
19,Private,High-school,Single,Craft-repair,40,Below-50K
33,Private,College,Single,Other,28,Below-50K
28,Private,High-school,Divorced,Sales,40,Above-50K
49,Private,College,Separated,Administrative,40,Below-50K
61,Missing,High-school,Married,Missing,32,Below-50K
39,Self-emp,College,Married,Specilist,25,Below-50K
22,Private,High-school,Separated,Administrative,40,Below-50K
42,Private,10th,Married,Craft-repair,40,Below-50K
22,Private,College,Single,Administrative,40,Below-50K
18,Private,High-school,Single,Craft-repair,40,Below-50K
49,Local-gov,9th,Widowed,Clearning,40,Above-50K
33,Self-emp,Doctorate,Married,Specilist,40,Above-50K
28,Private,High-school,Married,Craft-repair,45,Below-50K
42,Private,7th-8th,Separated,Specilist,35,Below-50K
20,Private,College,Single,Other,25,Below-50K
50,Local-gov,College,Married,Security,48,Below-50K
32,Private,College,Married,Management,40,Above-50K
31,Federal-gov,High-school,Separated,Clearning,40,Below-50K
29,Private,Associate,Single,Other,40,Below-50K
46,Federal-gov,College,Married,Other,40,Below-50K
32,Self-emp,Doctorate,Single,Specilist,77,Below-50K
61,Private,High-school,Widowed,Administrative,24,Below-50K
43,Self-emp,11th,Married,Craft-repair,55,Below-50K
35,Private,High-school,Single,Clearning,40,Below-50K
39,State-gov,Bachelors,Married,Specilist,40,Below-50K
18,Missing,11th,Single,Missing,35,Below-50K
42,Self-emp,College,Married,Algriculture,60,Below-50K
23,Private,Bachelors,Single,Specilist,40,Below-50K
32,Private,Bachelors,Married,Sales,45,Below-50K
52,Private,High-school,Married,Transportation,85,Above-50K
36,Private,Associate,Married,Tech-support,40,Above-50K
38,Private,College,Married,Specilist,50,Above-50K
50,Private,High-school,Widowed,Sales,72,Above-50K
23,Missing,Associate,Single,Missing,40,Below-50K
71,Private,Prof-school,Married,Specilist,12,Above-50K
27,Private,High-school,Single,Other,30,Below-50K
56,Private,High-school,Married,Craft-repair,60,Below-50K
28,Self-emp,College,Single,Specilist,40,Below-50K
45,Private,High-school,Married,Craft-repair,40,Below-50K
28,Private,High-school,Married,Machinary,40,Below-50K
28,Local-gov,College,Married,Security,40,Below-50K
18,Private,College,Single,Machinary,15,Below-50K
62,Private,7th-8th,Divorced,Clearning,40,Below-50K
35,Private,12th,Separated,Machinary,40,Below-50K
39,Private,10th,Married,Machinary,60,Below-50K
24,Private,College,Single,Administrative,20,Below-50K
58,Private,9th,Divorced,Algriculture,40,Below-50K
48,Private,High-school,Divorced,Sales,40,Below-50K
57,Private,Bachelors,Married,Management,50,Above-50K
31,Private,Bachelors,Married,Sales,60,Below-50K
25,Private,High-school,Married,Sales,40,Below-50K
34,Private,Bachelors,Married,Specilist,36,Above-50K
29,Self-emp,7th-8th,Married,Algriculture,72,Below-50K
38,Private,Associate,Divorced,Management,40,Below-50K
21,Private,College,Single,Other,40,Below-50K
34,Self-emp,High-school,Married,Algriculture,70,Below-50K
50,Private,Bachelors,Single,Sales,32,Below-50K
50,Private,High-school,Divorced,Specilist,40,Below-50K
49,Federal-gov,Associate,Divorced,Management,45,Below-50K
30,Private,Bachelors,Single,Specilist,70,Below-50K
29,State-gov,Masters,Married,Specilist,20,Below-50K
22,State-gov,College,Single,Administrative,20,Below-50K
42,Private,High-school,Married,Transportation,50,Below-50K
19,Missing,College,Single,Missing,40,Below-50K
31,Private,College,Divorced,Other,48,Below-50K
42,Self-emp,Bachelors,Married,Specilist,21,Below-50K
20,Private,College,Single,Other,20,Below-50K
51,Missing,High-school,Married,Missing,40,Below-50K
50,Private,10th,Married,Craft-repair,40,Above-50K
27,Self-emp,9th,Single,Craft-repair,40,Below-50K
26,Private,11th,Single,Other,40,Below-50K
61,Missing,High-school,Married,Missing,40,Above-50K
20,Private,College,Single,Security,40,Below-50K
51,Private,College,Married,Craft-repair,40,Above-50K
52,Private,High-school,Married,Machinary,40,Below-50K
33,Private,High-school,Divorced,Administrative,38,Below-50K
31,Private,Bachelors,Married,Administrative,60,Below-50K
24,Private,College,Married,Other,40,Below-50K
56,Private,Bachelors,Married,Machinary,40,Below-50K
19,Missing,College,Single,Missing,40,Below-50K
29,Private,11th,Married,Craft-repair,50,Below-50K
18,Private,High-school,Single,Sales,30,Below-50K
43,Private,College,Married,Machinary,50,Below-50K
43,State-gov,Doctorate,Separated,Specilist,64,Above-50K
21,Private,High-school,Married,Administrative,40,Below-50K
51,Private,High-school,Married,Administrative,40,Below-50K
20,Missing,11th,Married,Missing,39,Below-50K
41,Private,College,Married,Transportation,65,Above-50K
45,State-gov,College,Married,Specilist,40,Above-50K
20,Private,High-school,Single,Other,30,Below-50K
28,Private,Bachelors,Married,Management,60,Above-50K
50,Local-gov,Masters,Married,Specilist,40,Above-50K
47,Private,Bachelors,Divorced,Craft-repair,40,Below-50K
80,Self-emp,7th-8th,Widowed,Algriculture,35,Below-50K
47,Self-emp,High-school,Married,Administrative,35,Below-50K
19,Missing,College,Single,Missing,84,Below-50K
45,Private,High-school,Married,Sales,50,Below-50K
17,Private,11th,Single,Clearning,12,Below-50K
37,Private,High-school,Married,Craft-repair,50,Below-50K
27,Private,College,Single,Machinary,40,Below-50K
17,Private,12th,Single,Other,16,Below-50K
18,Self-emp,High-school,Single,Algriculture,40,Below-50K
57,Private,High-school,Married,Clearning,40,Below-50K
26,Private,High-school,Separated,Administrative,40,Below-50K
26,Private,Masters,Single,Management,40,Below-50K
36,Self-emp,Bachelors,Married,Specilist,45,Above-50K
51,Private,High-school,Married,Algriculture,80,Above-50K
38,Private,College,Single,Other,40,Below-50K
77,Missing,5th-6th,Married,Missing,20,Below-50K
51,Private,High-school,Single,Craft-repair,40,Above-50K
24,Private,11th,Single,Clearning,40,Below-50K
35,Private,High-school,Divorced,Algriculture,65,Below-50K
35,Missing,10th,Divorced,Missing,99,Below-50K
51,Self-emp,Bachelors,Married,Management,40,Above-50K
28,Private,Bachelors,Married,Management,40,Above-50K
37,Private,High-school,Married,Transportation,40,Below-50K
43,Private,High-school,Married,Management,40,Below-50K
23,Private,High-school,Single,Clearning,30,Below-50K
42,Private,Bachelors,Married,Sales,40,Below-50K
58,Private,College,Married,Administrative,40,Above-50K
52,Local-gov,High-school,Married,Other,20,Below-50K
29,Private,High-school,Divorced,Sales,50,Below-50K
27,Private,College,Married,Craft-repair,60,Below-50K
28,Private,College,Single,Administrative,40,Below-50K
59,Private,Associate,Married,Craft-repair,20,Above-50K
28,Private,High-school,Single,Clearning,40,Below-50K
24,Private,College,Single,Craft-repair,40,Below-50K
20,Private,10th,Separated,Clearning,40,Below-50K
54,Private,Bachelors,Married,Management,40,Above-50K
65,Private,High-school,Divorced,Other,25,Below-50K
18,Missing,College,Single,Missing,30,Below-50K
38,Private,College,Married,Craft-repair,40,Above-50K
29,Private,High-school,Married,Machinary,40,Below-50K
27,Private,High-school,Single,Administrative,40,Below-50K
36,Private,Masters,Married,Other,40,Below-50K
55,State-gov,High-school,Married,Security,40,Below-50K
22,Private,5th-6th,Single,Machinary,30,Below-50K
28,Private,Bachelors,Single,Specilist,40,Below-50K
20,Private,College,Single,Sales,30,Below-50K
24,Private,Bachelors,Married,Specilist,40,Below-50K
36,Private,Masters,Married,Management,50,Above-50K
68,Self-emp,High-school,Married,Sales,40,Below-50K
49,Self-emp,High-school,Divorced,Sales,50,Above-50K
18,Private,7th-8th,Single,Machinary,40,Below-50K
50,Self-emp,Doctorate,Divorced,Specilist,60,Above-50K
37,Private,12th,Separated,Clearning,40,Below-50K
60,Private,Masters,Married,Management,50,Above-50K
43,Private,College,Married,Craft-repair,40,Below-50K
43,Self-emp,Doctorate,Married,Specilist,70,Above-50K
